Web Assembly Inst,type,x86 mapping
i32.clz,27,LZCNT
i32.ctz,27,TZCNT
i32.popcnt,27,POPCNT
i32.add,27,ADD
i32.sub,27,SUB
i32.mul,27,IMUL
i32.div_s,27,IDIV
i32.div_u,27,DIV
i32.rem_s,27,FPREM
i32.rem_u,27,FPREM1
i32.and,27,AND
i32.or,27,OR
i32.xor,27,XOR
i32.shl,27,SHL
i32.shr_s,27,SAR
i32.shr_u,27,SHR
i32.rotl,27,ROL
i32.rotr,27,ROR
i32.eqz,27,CMP
i32.eq,27,CMP
i32.ne,27,FICOM
i32.lt_s,27,FICOM
i32.lt_u,27,FICOM
i32.gt_s,27,FICOM
i32.gt_u,27,FICOM
i32.le_s,27,FICOM
i32.le_u,27,FICOM
i32.ge_s,27,FICOM
i32.ge_u,27,FICOM
i32.const,27,EQU
i32.wrap_i64,27,
i32.trunc_f32_s,27,CVTTSD2SI
i32.trunc_f32_u,27,VCVTSS2USI
i32.trunc_f64_s,27,CVTTSD2SI
i32.trunc_f64_u,27,VCVTSS2USI
i32.reinterpret_f32,27,
i32.reinterpret_f64,27,
,,
,,
i64.clz,27,LZCNT
i64.ctz,27,TZCNT
i64.popcnt,27,POPCNT
i64.add,27,ADD
i64.sub,27,SUB
i64.mul,27,IMUL
i64.div_s,27,IDIV
i64.div_u,27,DIV
i64.rem_s,27,FPREM
i64.rem_u,27,FPREM1
i64.and,27,AND
i64.or,27,OR
i64.xor,27,XOR
i64.shl,27,SHL
i64.shr_s,27,SAR
i64.shr_u,27,SHR
i64.rotl,27,ROL
i64.rotr,27,ROR
i64.eqz,27,CMP
i64.eq,27,CMP
i64.ne,27,FICOM
i64.lt_s,27,FICOM
i64.lt_u,27,FICOM
i64.gt_s,27,FICOM
i64.gt_u,27,FICOM
i64.le_s,27,FICOM
i64.le_u,27,FICOM
i64.ge_s,27,FICOM
i64.ge_u,27,FICOM
i64.const,27,MOV
i64.trunc_f32_s,27,CVTTSS2SI
i64.trunc_f32_u,27,CVTTSS2SI
i64.trunc_f64_s,27,CVTTSD2SI
i64.trunc_f64_u,27,CVTTSD2SI
i64.extend_i32_s,27,
i64.reinterpret_f32,27,CVTTSS2SI
i64.reinterpret_f64,27,CVTTSD2SI
,,
,,
f32.abs,,FABS
f32.neg,,NEG
f32.sqrt,,FSQRT
f32.ceil,,ROUNDPD
f32.floor,,ROUNDPD
f32.trunc,,FRNDINT
f32.nearest,,FRNDINT
f32.add,,FADD
f32.sub,,FSUB
f32.mul,,FMUL
f32.div,,FDIV
f32.min,,PMINSW
f32.max,,PMANSW
f32.copysign,,CPYS
f32.eq,,FCOM
f32.ne,,FCOM
f32.lt,,FCOM
f32.gt,,FCOM
f32.le,,FCOM
f32.ge,,FCOM
f32.const,,
f32.demote_f64,,CVTSD2SS
f32.convert_i32_s,,VCVTUSI2SS
f32.convert_i32_u,,VCVTUSI2SD
f32.convert_i64_s,,VCVTUSI2SS
f32.convert_i64_u,,VCVTUSI2SD
f32.reinterpret_i32,,VCVTUSI2SS
f32.reinterpret_i64,,VCVTUSI2SD
,,
f64.abs,,FABS
f64.neg,,NEG
f64.sqrt,,FSQRT
f64.ceil,,ROUNDPD
f64.floor,,ROUNDPD
f64.trunc,,FRNDINT
f64.nearest,,FRNDINT
f64.add,,FADD
f64.sub,,FSUB
f64.mul,,FMUL
f64.div,,FDIV
f64.min,,MINSD
f64.max,,MAXSD
f64.copysign,,
f64.eq,,FCOM
f64.ne,,FCOM
f64.lt,,FCOM
f64.gt,,FCOM
f64.le,,FCOM
f64.ge,,FCOM
f64.const,,
f64.promote_f32,,
f64.convert_i32_s,,
f64.convert_i32_u,,
f64.convert_i64_s,,
f64.convert_i64_u,,
f64.reinterpret_i32,,
f64.reinterpret_i64,,
,,
Variable Insts,,
local.get,27,MOV
local.set,,
global.get,,
glocal.set,,
local.tee,,
,,
Control Insts,,
nop,,NOP
unreachable,,UD2
block,,BEGIN
loop,,LOOP label
if,,"CMP j1, j2
JG LABEL1
"
else,,ELSE LABEL2
br,27,JMP
br_if,,JRCXZ/ conditional JMP
br_table,,
return,,RET
end,,END
call,,CALL
call_indirect,,CALLQ
,,
Parametric Insts,,
drop,,POP
select,,"CMP j1, j2JG LABEL1"
Memory Insts,,
memory.size,,
memory.grow,,
,,
i32.load offset,2,FILD
i32.load align,2,FILD
i32.load8_s offset,2,FILD
i32.load8_s align,2,FILD
i32.load8_u offset,2,FILD
i32.load8_u align,2,FILD
i32.load16_s offset,2,FILD
i32.load16_s align,2,FILD
i32.load16_u offset,2,FILD
i32.load16_u align,2,FILD
,,
i32.store offset,3,FIST
i32.store align,3,FIST
i32.store8_s offset,3,FIST
i32.store8_s align,3,FIST
i32.store8_u offset,3,FIST
i32.store8_u align,3,FIST
i32.store16_s offset,3,FIST
i32.store16_s align,3,FIST
i32.store16_u offset,3,FIST
i32.store16_u align,3,FIST
,,
i64.load offset,2,FILD
i64.load align,2,FILD
i64.store offset,3,FIST
i64.store align,3,FIST
i64.load32_s offset,2,FILD
i64.load32_s align,2,FILD
i64.load32_u offset,2,FILD
i64.load32_u align,2,FILD
i64.store32 offset,3,FIST
i64.store32 align,3,FIST
,,
f32.load offset,2,FLD
f32.load align,2,FLD
f32.store offset,3,FST
f32.store align,3,FST
,,
f64.load offset,2,FLD
f64.load align,2,FLD
f64.store offset,3,FST
f64.store align,3,FST
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,